truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Goes to the closest fire,0,10,20,↖ North/West,6,1,72.0,269.8181818181818,2172.4545454545455,2442.2727272727275,26.818181818181817,9.090909090909092,3958.181818181818,2441.818181818182,30.522727272727273
Goes to the closest fire,0,10,20,↗ North/East,1,0,6.0,3.5454545454545454,1.0,4.545454545454546,2.909090909090909,3.090909090909091,6398.818181818182,1.1818181818181819,0.014772727272727272
Goes to the closest fire,0,10,20,↗ North/East,1,1,6.0,12.636363636363637,1.0,13.636363636363637,6.0,12.181818181818182,6392.727272727273,7.2727272727272725,0.09090909090909091
Goes to the closest fire,0,10,20,↗ North/East,2,0,6.0,7.7272727272727275,1.0,8.727272727272727,3.8181818181818183,4.7272727272727275,6396.727272727273,3.272727272727273,0.04090909090909091
Goes to the closest fire,0,10,20,↗ North/East,2,1,6.0,17.272727272727273,1.0,18.272727272727273,6.363636363636363,12.272727272727273,6389.454545454545,10.545454545454545,0.1318181818181818
Goes to the closest fire,0,10,20,↗ North/East,6,0,58.81818181818182,211.0909090909091,1836.7272727272727,2047.8181818181818,22.454545454545453,8.181818181818182,4353.909090909091,2046.090909090909,25.576136363636365
Goes to the closest fire,0,10,20,↗ North/East,6,1,69.81818181818181,211.36363636363637,2274.0,2485.3636363636365,27.90909090909091,9.454545454545455,3915.818181818182,2484.181818181818,31.052272727272726
Goes to the closest fire,0,10,20,↘ South/East,1,0,6.0,2.8181818181818183,1.0,3.8181818181818183,2.3636363636363638,2.3636363636363638,6399.0,1.0,0.0125
Goes to the closest fire,0,10,20,↘ South/East,1,1,6.0,11.272727272727273,1.0,12.272727272727273,5.2727272727272725,11.0,6393.272727272727,6.7272727272727275,0.08409090909090909
Goes to the closest fire,0,10,20,↘ South/East,2,0,6.0,3.6363636363636362,1.0,4.636363636363637,2.4545454545454546,2.5454545454545454,6398.727272727273,1.2727272727272727,0.01590909090909091
Goes to the closest fire,0,10,20,↘ South/East,2,1,6.0,13.545454545454545,1.0,14.545454545454545,5.545454545454546,11.454545454545455,6391.727272727273,8.272727272727273,0.10340909090909091
Goes to the closest fire,0,10,20,↘ South/East,6,0,72.18181818181819,299.09090909090907,2098.6363636363635,2397.7272727272725,27.0,9.636363636363637,4004.4545454545455,2395.5454545454545,29.94431818181818
Goes to the closest fire,0,10,20,↘ South/East,6,1,76.9090909090909,267.8181818181818,2385.7272727272725,2653.5454545454545,29.636363636363637,10.0,3746.909090909091,2653.090909090909,33.163636363636364
Goes to the closest fire,0,10,20,↙ South/West,1,0,6.0,4.545454545454546,1.0,5.545454545454546,3.3636363636363638,3.5454545454545454,6398.727272727273,1.2727272727272727,0.01590909090909091
Goes to the closest fire,0,10,20,↙ South/West,1,1,6.0,14.0,1.0,15.0,6.181818181818182,13.545454545454545,6391.636363636364,8.363636363636363,0.10454545454545454
Goes to the closest fire,0,10,20,↙ South/West,2,0,6.0,7.636363636363637,1.0,8.636363636363637,3.727272727272727,4.636363636363637,6396.909090909091,3.090909090909091,0.038636363636363635
Goes to the closest fire,0,10,20,↙ South/West,2,1,6.0,13.090909090909092,1.0,14.090909090909092,6.0,11.545454545454545,6392.545454545455,7.454545454545454,0.09318181818181817
Goes to the closest fire,0,10,20,↙ South/West,6,0,68.54545454545455,281.72727272727275,2058.909090909091,2340.6363636363635,23.454545454545453,9.909090909090908,4061.5454545454545,2338.4545454545455,29.23068181818182
Goes to the closest fire,0,10,20,↙ South/West,6,1,83.81818181818181,326.72727272727275,2676.4545454545455,3003.181818181818,28.90909090909091,10.454545454545455,3398.090909090909,3001.909090909091,37.523863636363636
Goes to the closest fire,0,10,25,↖ North/West,1,0,6.0,4.0,1.0,5.0,2.8181818181818183,2.8181818181818183,6399.0,1.0,0.0125
Goes to the closest fire,0,10,25,↖ North/West,1,1,6.0,6.909090909090909,1.0,7.909090909090909,3.909090909090909,6.2727272727272725,6396.636363636364,3.3636363636363638,0.042045454545454546
Goes to the closest fire,0,10,25,↖ North/West,2,0,6.0,3.5454545454545454,1.0,4.545454545454546,2.5454545454545454,2.727272727272727,6398.727272727273,1.2727272727272727,0.01590909090909091
Goes to the closest fire,0,10,25,↖ North/West,2,1,6.0,7.545454545454546,1.0,8.545454545454545,4.2727272727272725,6.636363636363637,6396.181818181818,3.8181818181818183,0.04772727272727273
Goes to the closest fire,0,10,25,↖ North/West,6,0,77.45454545454545,293.8181818181818,2314.181818181818,2608.0,28.272727272727273,9.545454545454545,3795.181818181818,2604.818181818182,32.560227272727275
Goes to the closest fire,0,10,25,↖ North/West,6,1,76.0,285.8181818181818,2301.0,2586.818181818182,26.181818181818183,8.909090909090908,3814.909090909091,2585.090909090909,32.31363636363636
Goes to the closest fire,0,10,25,↗ North/East,1,0,6.0,3.8181818181818183,1.0,4.818181818181818,2.6363636363636362,2.8181818181818183,6398.818181818182,1.1818181818181819,0.014772727272727272
Goes to the closest fire,0,10,25,↗ North/East,1,1,6.0,7.636363636363637,1.0,8.636363636363637,4.363636363636363,7.090909090909091,6396.181818181818,3.8181818181818183,0.04772727272727273
