truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Indirect attack,1,10,15,↘ South/East,2,0,107.4545455,104.4545455,2057.454545,2261.909091,22,5.454545455,4295.545455,2104.454545,26.30568182
Indirect attack,1,10,15,↘ South/East,2,1,104.9090909,120.0909091,2966.090909,3186.181818,19.72727273,5.272727273,3358.272727,3041.727273,38.02159091
Indirect attack,1,10,15,↘ South/East,6,0,101.8181818,88.90909091,2051.909091,2240.818182,18.54545455,5.272727273,4314.181818,2085.818182,26.07272727
Indirect attack,1,10,15,↘ South/East,6,1,111,112.9090909,2897.181818,3110.090909,24.27272727,5.181818182,3461.181818,2938.818182,36.73522727
Indirect attack,1,10,15,↙ South/West,1,0,90.27272727,93.09090909,2018.636364,2211.727273,20.54545455,5.545454545,4347.909091,2052.090909,25.65113636
Indirect attack,1,10,15,↙ South/West,1,1,88,114.9090909,2172.181818,2387.090909,23.18181818,6.181818182,4198.363636,2201.636364,27.52045455
Indirect attack,1,10,15,↙ South/West,2,0,92.81818182,135.7272727,1616.909091,1852.636364,21.90909091,6.090909091,4721.454545,1678.545455,20.98181818
Indirect attack,1,10,15,↙ South/West,2,1,85.09090909,126.6363636,1987.727273,2214.363636,21,6.454545455,4354.090909,2045.909091,25.57386364
Indirect attack,1,10,15,↙ South/West,6,0,111.2727273,71.45454545,3030,3201.454545,25.09090909,4.545454545,3326.181818,3073.818182,38.42272727
Indirect attack,1,10,15,↙ South/West,6,1,113.2727273,86.18181818,2683,2869.181818,22.81818182,5.181818182,3679,2721,34.0125
Indirect attack,1,10,20,↖ North/West,1,0,80.09090909,99.63636364,1317.545455,1517.181818,18.54545455,5.636363636,5057.454545,1342.545455,16.78181818
